VentaID,FechaVenta,HoraVenta,SucursalNombre,CiudadSucursal,VendedorNombre,Cliente_Nombre,GeneroCliente,edadcliente,EmailCliente,TelefonoCliente,Direccion_Cliente,MetodoPago,NombreProducto1,MarcaProducto1,CantidadProducto1,PrecioUnitarioProducto1,SubtotalProducto1,NombreProducto2,MarcaProducto2,CantidadProducto2,PrecioUnitarioProducto2,SubtotalProducto2,NombreProducto3,MarcaProducto3,CantidadProducto3,PrecioUnitarioProducto3,SubtotalProducto3,DescuentoVenta,TotalVenta
13,2015-06-12,11:35:15,TechCore medellin #2,Medellín,Almudena Adelaida Lledó Garrido,Augusto Murcia-Almazán,M,32,augusto87@hotmail.com,+34875 10 81 17,cra 13 #5-79,Tarjeta Débito,HP Envy 13,HP,2,4000000,8000000,,,,,,,,,,,0.0,8000000.0
14,2019-10-20,19:11:34,TechCore pereíra,Pereíra,Jose Angel Rovira Adadia,Carmina del Collado,F,35,carmina84@yahoo.com,+34973 52 21 99,cll 34 #61-14,Tarjeta Crédito,Lenovo Legion 5 Pro,Lenvo,2,7200000,14400000,Lenovo IdeaPad 5,Lenvo,2.0,2800000.0,5600000.0,Lenovo Yoga 7i,Lenovo,1.0,4400000.0,4400000.0,0.0,24400000.0
15,2024-04-23,22:29:04,TechCore Medellín #1,Medellín,Eusebia Jara Macias,Samu Pepito Palomino Mancebo,M,25,samu28@hotmail.com,+34 730 62 33 02,cra 40 #60-34,Billetera Digital,Lenovo Legion 5 Pro,Lenovo,1,7200000,7200000,Samsung Galaxy Book Pro,Samsng,2.0,4800000.0,9600000.0,,,,,,0.0,16800000.0
16,2023-02-12,18:46:06,TechCore Cali,cali,Basilio Marcos Barrena,Raimundo Murcia Moraleda,M,44,raimundo91@gmail.com,+34 974 797 672,cll 68 #20-46,Tarjeta Crédito,Lenovo IdeaPad 5,Lenovo,2,2800000,5600000,Lenovo ThinkPad X1 Carbon,Lenvo,2.0,6800000.0,13600000.0,,,,,,0.15,16320000.0
17,2016-02-04,14:10:36,TechCore Medellín #1,medellin,Eusebia Jara Macias,Leandro Pereira Coca,M,36,leandro51@gmail.com,+34 718 167 173,cra 96 #19-82,,Lenovo Legion 5 Pro,Lenovo,1,7200000,7200000,Dell Latitude 7420,Del,2.0,5600000.0,11200000.0,HP Spectre x360,HPP,1.0,5200000.0,5200000.0,0.0,23600000.0
18,2020-10-15,19:48:24,Techcore bogotá #2,bogota,Olivia Armas Ayuso,Pepito Rebollo Bueno,M,29,pepito31@hotmail.com,+34 822 397 941,cll 94 #24-74,Transferencia,HP Omen 16,HPP,1,6000000,6000000,Lenovo Yoga 7i,Lenvo,1.0,4400000.0,4400000.0,,,,,,0.05,9880000.0
19,2019-11-17,04:30:51,TechCore pereíra,Pereira,Carina Parejo Carranza,Pastora Novoa Perea,F,46,pastora49@gmail.com,+34732 033 755,cra 67 #18-94,,Dell Inspiron 15,Dell,1,3000000,3000000,HP Spectre x360,HPP,1.0,5200000.0,5200000.0,Acer Swift 3,Acr,2.0,2600000.0,5200000.0,0.0,13400000.0
20,2014-12-20,14:26:28,TechCore medellin #1,Medellín,Ibán López Córdoba,Benito Samper Salcedo,M,49,benito98@gmail.com,+34 921357971,cra 5 #10-32,Transferencia,Apple iMac 24,Aple,2,6400000,12800000,Apple MacBook Pro 14,Aple,2.0,8000000.0,16000000.0,Apple MacBook Air M1,Aple,2.0,5500000.0,11000000.0,,39800000.0
21,2016-10-26,19:52:10,TechCore medellín #1,medellín,Liliana Jordá Armengol,Juan Carlos Zorrilla Torrens,M,18,juan8@yahoo.com,+34888 19 13 19,cra 9 #12-5,Tarjeta Débito,HP Spectre x360,HPP,2,5200000,10400000,Apple MacBook Air M1,Aple,1.0,5500000.0,5500000.0,,,,,,0.1,14310000.0
22,2023-06-05,06:19:52,TechCore medellin #1,Medellin,Liliana Jordá Armengol,Máximo Díaz Millán,M,24,máximo25@hotmail.com,+34841 14 16 52,cra 71 #97-18,Efectivo,Samsung Galaxy Chromebook 2,Samsung,2,2000000,4000000,Dell Latitude 7420,Dell,2.0,5600000.0,11200000.0,,,,,,,15200000.0
23,2018-11-23,12:57:03,Techcore bogotá#1,bogota,María Belén Alegria Camps,Luis Miguel Díaz Fonseca,M,49,luis88@yahoo.com,+34 975681419,cll 32 #61-83,Tarjeta Crédito,Asus VivoBook 15,Asus,1,2400000,2400000,Microsoft Surface Go 3,Microsoft,2.0,3000000.0,6000000.0,Dell Alienware m15,Del,1.0,8000000.0,8000000.0,0.0,16400000.0
24,2020-02-26,17:45:53,TechCore pereira,Pereira,Amílcar Ortega-Alberto,Juanita de Reig,F,45,juanita46@yahoo.com,+34 972681005,cll 69 #73-59,Tarjeta Débito,Dell Inspiron 15,Del,2,3000000,6000000,Apple MacBook Pro 14,Apple,1.0,8000000.0,8000000.0,Lenovo ThinkPad X1 Carbon,Lenovo,2.0,6800000.0,13600000.0,0.05,26220000.0
25,2020-01-22,04:22:33,TechCore pereira,Pereira,Carina Parejo Carranza,Evita Torrecilla Rivas,F,32,,+34 824127866,cra 63 #13-93,Tarjeta Débito,Apple MacBook Air M1,Apple,2,5500000,11000000,Asus ROG Strix G15,Asus,1.0,6400000.0,6400000.0,Dell Alienware m15,Del,1.0,8000000.0,8000000.0,,25400000.0
26,2025-09-01,17:23:01,TechCore cali,Cali,Basilio Marcos Barrena,Amado Cecilio Borrell Blanca,M,27,amado31@yahoo.com,+34944575665,cra 26 #66-65,Tarjeta Débito,Dell Alienware m15,Del,1,8000000,8000000,,,,,,,,,,,0.0,8000000.0
27,2023-03-06,21:09:34,TechCore medellin #1,Medellin,Ibán López Córdoba,Ulises Taboada Bru,M,26,ulises4@gmail.com,+34749886498,cra 16 #35-93,Transferencia,Dell XPS 13,Dell,1,4800000,4800000,,,,,,,,,,,0.15,4080000.0
28,2021-10-05,08:32:26,TechCore bogota#1,Bogotá,María Belén Alegria Camps,Tristán Montesinos Lorenzo,M,30,tristán2@gmail.com,+34883 410 463,cll 4 #80-36,Transferencia,HP Omen 16,HP,1,6000000,6000000,Asus ROG Strix G15,Azus,1.0,6400000.0,6400000.0,,,,,,0.05,11780000.0
29,2016-06-05,17:32:11,TechCore cali,Cali,Jacinta Juárez Marín,Crescencia Segura Salas,F,25,crescencia37@gmail.com,+34 974 23 26 29,cll 35 #77-31,Tarjeta Débito,Dell XPS 13,Del,1,4800000,4800000,,,,,,,,,,,0.0,4800000.0
30,2016-12-02,04:08:57,TechCore bogotá #1,Bogotá,Aura del Bermúdez,Tomasa Benito Casanova,F,35,tomasa98@hotmail.com,+34 800 25 62 89,cra 52 #3-43,Transferencia,Asus ZenBook 14,Azus,1,3800000,3800000,Lenovo IdeaPad 5,Lenvo,2.0,2800000.0,5600000.0,Asus VivoBook 15,Asus,2.0,2400000.0,4800000.0,0.0,14200000.0
31,2024-11-07,09:30:34,TechCore Medellín #2,medellín,Juan José Porcel-Riera,Daniel Dalmau,M,34,daniel87@hotmail.com,+34 704 190 563,cll 22 #4-10,,Lenovo Legion 5 Pro,Lenvo,1,7200000,7200000,,,,,,,,,,,,7200000.0
32,2016-12-08,01:38:51,TechCore bogotá #1,bogotá,Evaristo Guillen Peña,Ruy Gras,M,26,ruy83@yahoo.com,+34 820 88 95 30,cra 64 #17-98,Tarjeta Crédito,Apple MacBook Pro 14,Aple,2,8000000,16000000,Apple MacBook Pro 16,Apple,2.0,9600000.0,19200000.0,,,,,,0.05,33440000.0
33,2014-11-09,05:21:12,TechCore bogota#2,bogota,Herminia Meléndez-Huguet,Alcides Cal Novoa,M,27,alcides57@hotmail.com,+34 807 85 95 30,cll 16 #9-53,Tarjeta Crédito,Lenovo ThinkPad X1 Carbon,Lenvo,2,6800000,13600000,,,,,,,,,,,0.15,11560000.0
34,2019-04-15,02:05:52,TechCore bogota#1,bogotá,María Belén Alegria Camps,María Dolores Chaparro Mendoza,F,31,maría45@gmail.com,+34 957 78 96 40,cll 87 #16-57,Billetera Digital,Lenovo ThinkPad X1 Carbon,Lenvo,2,6800000,13600000,,,,,,,,,,,0.0,13600000.0
35,2018-07-12,02:38:19,TechCore bogotá #1,bogotá,María Belén Alegria Camps,Virginia Campo Nicolás,F,38,virginia39@hotmail.com,+34 710 422 204,cll 4 #20-33,Tarjeta Crédito,Asus ZenBook 14,Azus,1,3800000,3800000,,,,,,,,,,,0.1,3420000.0
36,2020-05-25,15:33:53,Techcore bogotá#1,bogotá,Evaristo Guillen Peña,Eligio Baena-Fabra,M,40,eligio3@hotmail.com,+34881 17 04 87,cll 30 #7-13,Tarjeta Crédito,MSI GS66 Stealth,MSI,2,8000000,16000000,Samsung Galaxy Book Pro,Samsung,1.0,4800000.0,4800000.0,,,,,,0.1,18720000.0
37,2018-06-07,11:06:40,TechCore Medellín #1,medellín,Eusebia Jara Macias,Eladio Carmelo Arellano Benavides,M,28,eladio27@yahoo.com,+34856 577 487,cll 89 #71-2,Tarjeta Crédito,Asus ZenBook 14,Asus,2,3800000,7600000,,,,,,,,,,,0.0,7600000.0
38,2021-07-09,10:32:45,TechCore medellin #2,Medellin,Juan José Porcel-Riera,Consuela del Rubio,F,42,consuela56@yahoo.com,+34735771746,cll 74 #62-24,Tarjeta Crédito,Dell XPS 13,Dell,2,4800000,9600000,HP Spectre x360,HP,2.0,5200000.0,10400000.0,,,,,,0.1,18000000.0
39,2021-05-01,10:23:04,Techcore medellín #2,medellin,Luisina Lasa,Victoriano Ocaña Perales,M,18,victoriano88@hotmail.com,+34875 084 762,cll 39 #99-93,Tarjeta Débito,Lenovo Legion 5 Pro,Lenvo,1,7200000,7200000,,,,,,,,,,,0.0,7200000.0
40,2023-04-26,13:00:12,TechCore medellin #2,Medellín,Juanito Diaz,Adrián Roda Pareja,M,30,adrián63@hotmail.com,+34 978063493,cll 29 #24-95,Billetera Digital,Dell Latitude 7420,Del,2,5600000,11200000,Lenovo ThinkPad X1 Carbon,Lenovo,1.0,6800000.0,6800000.0,Apple MacBook Pro 14,Aple,2.0,8000000.0,16000000.0,0.0,34000000.0
41,2023-04-07,05:38:51,TechCore medellin #2,Medellin,Juanito Diaz,Juan Bautista Carrión Barros,M,37,juan28@hotmail.com,+34 878357287,cll 76 #84-70,Tarjeta Crédito,Dell Inspiron 15,Del,1,3000000,3000000,Acer Predator Helios 300,Acr,2.0,5600000.0,11200000.0,,,,,,0.0,14200000.0
42,2017-05-19,19:34:57,TechCore Pereira,Pereira,Amílcar Ortega-Alberto,Maxi Borrell Nicolau,F,23,maxi87@gmail.com,+34 975 21 62 23,cll 82 #42-38,,HP Omen 16,HPP,1,6000000,6000000,Apple MacBook Air M1,Apple,1.0,5500000.0,5500000.0,Dell Latitude 7420,Del,2.0,5600000.0,11200000.0,0.05,21565000.0
43,2018-03-17,07:00:49,Techcore bogotá #2,bogotá,Eloísa Plaza Hurtado,Úrsula Miranda Alcalá,F,46,,+34876095711,cra 64 #7-25,Tarjeta Crédito,Microsoft Surface Go 3,Microsoft,1,3000000,3000000,Lenovo ThinkPad X1 Carbon,Lenvo,2.0,6800000.0,13600000.0,HP Omen 16,HP,2.0,6000000.0,12000000.0,,28600000.0
44,2018-05-31,05:12:56,TechCore medellín #1,medellin,Ibán López Córdoba,Noemí Solano Aramburu,F,39,noemí90@hotmail.com,+34 846 170 671,cra 3 #25-6,Transferencia,Lenovo IdeaPad 5,Lenovo,2,2800000,5600000,Acer Aspire 5,Acer,2.0,2000000.0,4000000.0,Lenovo ThinkPad X1 Carbon,Lenovo,2.0,6800000.0,13600000.0,0.0,23200000.0
45,2022-10-07,12:44:17,TechCore Bogotá #2,Bogotá,Eloísa Plaza Hurtado,Andrea de Heredia,F,26,andrea67@hotmail.com,+34843 79 21 52,cra 34 #53-41,Billetera Digital,Lenovo ThinkPad X1 Carbon,Lenovo,2,6800000,13600000,Lenovo Yoga 7i,Lenvo,2.0,4400000.0,8800000.0,Lenovo Legion 5 Pro,Lenovo,2.0,7200000.0,14400000.0,0.0,36800000.0
46,2018-09-30,04:01:17,TechCore medellin #1,medellín,Eusebia Jara Macias,Brunilda Escudero Pallarès,F,28,brunilda95@yahoo.com,+34 960 48 59 65,cll 73 #22-84,Tarjeta Crédito,Lenovo Yoga 7i,Lenovo,2,4400000,8800000,Apple MacBook Air M1,Apple,2.0,5500000.0,11000000.0,,,,,,0.0,19800000.0
47,2022-03-27,05:26:43,TechCore Bogotá #2,Bogota,Olivia Armas Ayuso,Mariano Sebastian Quiroga Tapia,M,47,mariano6@yahoo.com,+34826 288 307,cra 32 #17-65,Tarjeta Débito,Apple MacBook Pro 14,Aple,2,8000000,16000000,,,,,,,,,,,0.05,15200000.0
48,2019-08-19,15:18:12,TechCore bogota#1,Bogota,Poncio Gabriel Poza Acedo,Luís Gaspar Zaragoza Botella,M,34,luís57@hotmail.com,+34 826583143,cll 22 #44-70,Tarjeta Crédito,Asus VivoBook 15,Azus,1,2400000,2400000,Dell XPS 13,Dell,1.0,4800000.0,4800000.0,MSI GF65 Thin,MSY,2.0,4400000.0,8800000.0,,16000000.0
49,2024-04-30,06:07:59,TechCore medellin #2,medellín,Juan José Porcel-Riera,Ema Alba Mata Chamorro,F,44,ema39@yahoo.com,+34978 13 57 97,cll 41 #21-35,Efectivo,Asus ZenBook 14,Asus,2,3800000,7600000,Lenovo Legion 5 Pro,Lenvo,2.0,7200000.0,14400000.0,,,,,,0.0,22000000.0
50,2020-08-31,05:59:28,Techcore medellín #2,medellin,Juan José Porcel-Riera,Ruperta Martí-Nevado,F,28,ruperta11@hotmail.com,+34834 85 81 86,cll 96 #4-5,Tarjeta Crédito,HP Omen 16,HPP,2,6000000,12000000,Samsung Galaxy Book Flex,Samsung,2.0,5600000.0,11200000.0,,,,,,,23200000.0
51,2016-09-13,22:43:40,TechCore Bogotá #1,,Aura del Bermúdez,Baltasar Quintanilla Moles,M,38,baltasar29@yahoo.com,+34901 348 779,cra 27 #98-31,,Dell Latitude 7420,Dell,2,5600000,11200000,Asus TUF Gaming A15,Asus,2.0,4800000.0,9600000.0,HP Pavilion 15,HP,2.0,3500000.0,7000000.0,0.0,27800000.0
52,2023-09-22,11:05:23,TechCore Medellín #2,Medellín,Juanito Diaz,Ofelia Torrecilla Dominguez,F,33,ofelia58@yahoo.com,+34981 838 943,cra 5 #83-90,Tarjeta Crédito,Apple iMac 24,Apple,1,6400000,6400000,Acer Swift 3,Acer,2.0,2600000.0,5200000.0,Dell XPS 13,Dell,1.0,4800000.0,4800000.0,0.05,15580000.0
53,2016-01-07,02:43:03,TechCore Medellín #1,medellin,Dominga del Alcántara,Luis Ángel Carlos Aragonés,M,27,luis23@gmail.com,+34803411782,cll 52 #65-81,Efectivo,Apple MacBook Pro 14,Aple,2,8000000,16000000,,,,,,,,,,,0.0,16000000.0
54,2017-06-01,07:50:30,TechCore medellin #2,Medellin,Luisina Lasa,Alfonso Lerma,M,22,alfonso45@gmail.com,+34974 41 70 60,cll 37 #23-93,Tarjeta Crédito,HP Envy 13,HPP,2,4000000,8000000,Acer Nitro 5,Acer,1.0,4000000.0,4000000.0,Dell Alienware m15,Dell,2.0,8000000.0,16000000.0,,28000000.0
55,2021-08-28,06:44:52,TechCore medellin #1,Medellín,Ibán López Córdoba,Marciano Barberá Espada,M,40,marciano12@gmail.com,+34 876323627,cra 26 #44-70,Transferencia,Dell XPS 13,Del,1,4800000,4800000,HP Omen 16,HPP,2.0,6000000.0,12000000.0,,,,,,0.05,15960000.0
56,2018-01-16,14:50:10,TechCore bogota#2,bogota,Herminia Meléndez-Huguet,Eugenio de Camps,M,25,eugenio55@hotmail.com,+34979910172,cra 10 #40-70,Tarjeta Crédito,Samsung Galaxy Book Pro,Samsung,2,4800000,9600000,Dell XPS 13,Del,1.0,4800000.0,4800000.0,,,,,,0.1,12960000.0
57,2018-01-16,17:10:49,TechCore Bogotá #2,Bogotá,Armida Azorin Plaza,Olalla Jáuregui Durán,F,25,olalla76@gmail.com,+34941285934,cra 6 #63-15,,HP Spectre x360,HP,2,5200000,10400000,Apple MacBook Pro 14,Apple,1.0,8000000.0,8000000.0,,,,,,0.0,18400000.0
58,2023-10-06,18:31:23,TechCore Bogotá #2,bogota,Herminia Meléndez-Huguet,Xiomara Manuel Barroso,F,26,xiomara18@yahoo.com,+34845 70 43 54,cll 81 #21-99,Efectivo,Asus ZenBook 14,Azus,2,3800000,7600000,Lenovo Yoga 7i,Lenovo,1.0,4400000.0,4400000.0,,,,,,,12000000.0
59,2016-08-29,03:59:15,Techcore bogotá#1,bogotá,Aura del Bermúdez,Morena Abascal Luna,F,44,morena58@hotmail.com,+34 849 06 71 18,cll 56 #91-22,Tarjeta Crédito,MSI Modern 14,MSI,1,2800000,2800000,Apple MacBook Pro 14,Aple,2.0,8000000.0,16000000.0,,,,,,0.0,18800000.0
60,2023-04-23,01:37:30,Techcore bogotá #2,bogota,Armida Azorin Plaza,Paz Rovira-Segarra,F,26,paz16@gmail.com,+34926 54 67 19,cra 13 #69-98,Transferencia,Asus ZenBook 14,Azus,2,3800000,7600000,,,,,,,,,,,0.05,7220000.0
61,2021-03-10,02:37:08,TechCore Medellín #1,medellin,Dominga del Alcántara,Ruben Machado,M,34,ruben31@yahoo.com,+34 920870860,cll 85 #20-8,Tarjeta Débito,Dell Inspiron 15,Del,1,3000000,3000000,Lenovo IdeaPad 5,Lenvo,2.0,2800000.0,5600000.0,,,,,,0.0,8600000.0
62,2021-08-23,00:55:19,TechCore bogota#2,Bogotá,Armida Azorin Plaza,Ileana Castejón Uriarte,F,47,ileana72@hotmail.com,+34944 240 332,cra 66 #10-58,Tarjeta Crédito,Lenovo Yoga 7i,Lenvo,2,4400000,8800000,Microsoft Surface Go 3,Microsoft,2.0,3000000.0,6000000.0,,,,,,0.0,14800000.0
63,2020-10-08,14:33:41,TechCore cali,Cali,Basilio Marcos Barrena,Olimpia Palma Bertrán,F,40,olimpia26@hotmail.com,+34848 37 53 91,cll 91 #71-96,Tarjeta Débito,Lenovo Legion 5 Pro,Lenovo,1,7200000,7200000,,,,,,,,,,,0.0,7200000.0
64,2018-09-24,13:59:44,TechCore Medellín #2,medellín,Juan José Porcel-Riera,Leire Monreal Martin,F,21,leire56@gmail.com,+34 902243095,cll 86 #29-65,Tarjeta Crédito,HP Pavilion 15,HPP,1,3500000,3500000,Acer Swift 3,Acer,1.0,2600000.0,2600000.0,Acer Predator Helios 300,Acer,1.0,5600000.0,5600000.0,0.0,11700000.0
65,2017-07-07,03:35:07,TechCore medellin #1,Medellín,Ibán López Córdoba,Ascensión Florinda Murcia Cervantes,F,23,,+34 822 01 12 43,cra 40 #60-34,Tarjeta Débito,Asus ZenBook 14,Asus,1,3800000,3800000,HP Omen 16,HPP,1.0,6000000.0,6000000.0,Lenovo Yoga 7i,Lenovo,1.0,4400000.0,4400000.0,,14200000.0
66,2018-12-30,03:36:34,TechCore medellin #1,medellín,Eusebia Jara Macias,Eufemia Lloret Arcos,F,43,eufemia51@hotmail.com,+34858001565,cll 45 #95-87,Billetera Digital,Dell Latitude 7420,Del,1,5600000,5600000,Dell XPS 13,Dell,1.0,4800000.0,4800000.0,Dell Alienware m15,Del,2.0,8000000.0,16000000.0,0.0,26400000.0
67,2017-05-02,15:27:24,TechCore pereíra,Pereira,Carina Parejo Carranza,Begoña Ruiz,F,43,begoña45@hotmail.com,+34 974249867,cra 97 #23-44,Transferencia,Lenovo Yoga 7i,Lenovo,1,4400000,4400000,Apple MacBook Air M1,Apple,2.0,5500000.0,11000000.0,,,,,,0.15,13090000.0
68,2016-10-04,15:06:44,TechCore Pereira,Pereira,Anacleto Morera Segovia,Tristán del Mayo,M,32,tristán75@gmail.com,+34872 31 06 79,cll 90 #25-71,Tarjeta Crédito,Asus ZenBook 14,Asus,2,3800000,7600000,Dell XPS 13,Del,2.0,4800000.0,9600000.0,Acer Aspire 5,Acer,1.0,2000000.0,2000000.0,0.05,18240000.0
69,2022-07-30,10:25:33,TechCore bogotá #1,Bogota,Griselda Arnaiz Palacio,Toni Bermudez-Roldan,M,40,toni93@gmail.com,+34 924 58 42 83,cra 47 #50-20,Tarjeta Crédito,Apple MacBook Air M1,Apple,1,5500000,5500000,Dell Inspiron 15,Dell,1.0,3000000.0,3000000.0,,,,,,0.05,8075000.0
70,2024-08-17,07:42:48,TechCore Cali,cali,Jacinta Juárez Marín,Efraín Gomila Barroso,M,34,,+34 810 64 80 73,cll 75 #91-12,Transferencia,Lenovo IdeaPad 5,Lenvo,1,2800000,2800000,HP Pavilion 15,HP,2.0,3500000.0,7000000.0,,,,,,0.0,9800000.0
71,2024-03-13,22:03:29,TechCore bogotá#2,Bogota,Eloísa Plaza Hurtado,Blanca Gras-Barreda,F,33,blanca18@gmail.com,+34 900904725,cll 83 #22-82,Billetera Digital,HP Spectre x360,HP,1,5200000,5200000,,,,,,,,,,,0.0,5200000.0
72,2018-07-07,10:38:49,TechCore Bogotá #1,bogotá,María Belén Alegria Camps,Gustavo Salvà Armas,M,21,gustavo75@hotmail.com,+34633 19 51 25,cra 58 #78-32,Efectivo,Acer Aspire 5,Acr,1,2000000,2000000,Apple MacBook Pro 14,Apple,1.0,8000000.0,8000000.0,,,,,,0.05,9500000.0
73,2014-10-02,11:42:16,TechCore bogotá#2,bogotá,Herminia Meléndez-Huguet,Eliseo Jurado Lopez,M,33,,+34807110217,cll 69 #52-37,Efectivo,Asus VivoBook 15,Asus,1,2400000,2400000,Dell XPS 13,Del,1.0,4800000.0,4800000.0,,,,,,0.05,6840000.0
74,2014-10-29,19:29:22,TechCore medellin #2,Medellin,Juan José Porcel-Riera,Heraclio Valenciano Arana,M,29,heraclio76@yahoo.com,+34 848 611 288,cra 8 #36-31,Tarjeta Crédito,Acer Aspire 5,Acer,2,2000000,4000000,Lenovo ThinkPad X1 Carbon,Lenovo,1.0,6800000.0,6800000.0,Lenovo IdeaPad 5,Lenovo,2.0,2800000.0,5600000.0,0.1,14760000.0
75,2024-05-04,21:28:23,TechCore Medellín #1,medellín,Eusebia Jara Macias,Juan Bautista Valcárcel Agullo,M,18,juan58@yahoo.com,+34877 81 25 18,cll 30 #12-20,Billetera Digital,Apple MacBook Air M1,Apple,1,5500000,5500000,Apple MacBook Pro 14,Aple,2.0,8000000.0,16000000.0,Dell Alienware m15,Dell,1.0,8000000.0,8000000.0,0.0,29500000.0
76,2020-03-10,02:45:22,TechCore medellín #1,Medellin,Ibán López Córdoba,Eustaquio Juan Bernad,M,43,eustaquio79@yahoo.com,+34980 035 785,cll 75 #84-15,Tarjeta Crédito,HP Spectre x360,HPP,1,5200000,5200000,,,,,,,,,,,0.05,4940000.0
77,2020-01-08,00:05:10,Techcore bogotá #2,bogotá,Eloísa Plaza Hurtado,Darío Fermín Tello Clavero,M,37,darío70@hotmail.com,+34872 017 908,cll 42 #76-4,Tarjeta Débito,HP Pavilion 15,HP,2,3500000,7000000,,,,,,,,,,,0.05,6650000.0
