VentaID;FechaVenta;HoraVenta;NombreSucursal;CiudadSucursal;NombreVendedor;NombreCliente;GeneroCliente;EdadCliente;EmailCliente;TelefonoCliente;DireccionCliente;MetodoPago;NombreProducto1;MarcaProducto1;CantidadProducto1;PrecioUnitarioProducto1;SubtotalProducto1;NombreProducto2;MarcaProducto2;CantidadProducto2;PrecioUnitarioProducto2;SubtotalProducto2;NombreProducto3;MarcaProducto3;CantidadProducto3;PrecioUnitarioProducto3;SubtotalProducto3;DescuentoVenta;TotalVenta;AñoVenta;MesVenta;DiaVenta
5308;30/4/2023;20:58:36;Techcore Medellín #1;Medellín;Liliana Jordá Armengol;Seve Puga Ortega;M;32;seve69@yahoo.com;34914613150;Cra 96 #36-8;Tarjeta Crédito;Hp Pavilion 15;HP;1;3500000;3500000;No especificado;No especificado;0;0;0;No especificado;No especificado;0;0;0;0;3500000;2023;4;30
5700;16/8/2015;06:51:13;Techcore Medellín #1;Medellín;Liliana Jordá Armengol;Jeremías Ferrer Durán;M;48;jeremías76@yahoo.com;+34 942 04 31 19;Cll 11 #47-95;Tarjeta Crédito;Hp Spectre X360;HP;2;5200000;10400000;No especificado;No especificado;0;0;0;No especificado;No especificado;0;0;0;0;10400000;2015;8;16
6102;6/11/2023;19:04:43;Techcore Medellín #1;Medellín;Liliana Jordá Armengol;Encarnita Crespo;F;36;encarnita64@yahoo.com;+34 978064757;Cra 86 #90-14;Tarjeta Crédito;Asus Vivobook 15;Asus;2;2400000;4800000;No especificado;No especificado;0;0;0;No especificado;No especificado;0;0;0;0;4800000;2023;11;6
6119;3/3/2023;00:29:45;Techcore Medellín #1;Medellín;Liliana Jordá Armengol;Ramiro Ripoll;M;33;ramiro94@yahoo.com;+34708 62 76 07;Cll 34 #84-47;Tarjeta Crédito;Asus Rog Strix G15;Asus;1;6400000;6400000;No especificado;No especificado;0;0;0;No especificado;No especificado;0;0;0;0;6400000;2023;3;3
6200;9/11/2018;21:43:33;Techcore Medellín #1;Medellín;Liliana Jordá Armengol;Fulgencio Pazos Molins;M;34;fulgencio74@hotmail.com;+34 886482502;Cll 21 #5-45;Tarjeta Crédito;Apple Imac 24;Apple;2;6400000;12800000;No especificado;No especificado;0;0;0;No especificado;No especificado;0;0;0;0;12800000;2018;11;9
6488;2/2/2017;03:38:21;Techcore Medellín #1;Medellín;Liliana Jordá Armengol;Apolinar Espada;M;38;apolinar18@yahoo.com;34825774344;Cra 11 #99-30;Tarjeta Crédito;Lenovo Thinkpad X1 Carbon;Lenovo;2;6800000;13600000;No especificado;No especificado;0;0;0;No especificado;No especificado;0;0;0;0;13600000;2017;2;2
6599;3/5/2019;15:43:01;Techcore Medellín #1;Medellín;Liliana Jordá Armengol;Diego Calvo Alonso;M;25;diego86@yahoo.com;34807512690;Cll 26 #11-52;Tarjeta Crédito;Dell Latitude 7420;Dell;1;5600000;5600000;No especificado;No especificado;0;0;0;No especificado;No especificado;0;0;0;0;5600000;2019;5;3
6762;15/11/2017;04:11:18;Techcore Medellín #1;Medellín;Liliana Jordá Armengol;Glauco Aramburu Otero;M;45;glauco19@gmail.com;+34 843128443;Cll 82 #85-52;Tarjeta Crédito;Hp Spectre X360;HP;2;5200000;10400000;No especificado;No especificado;0;0;0;No especificado;No especificado;0;0;0;0;10400000;2017;11;15
6983;12/12/2019;02:01:12;Techcore Medellín #1;Medellín;Liliana Jordá Armengol;Fidel Dimas Sanmiguel Chaparro;M;19;fidel24@yahoo.com;+34 848 10 22 34;Cra 52 #30-61;Tarjeta Crédito;Apple Imac 24;Apple;1;6400000;6400000;No especificado;No especificado;0;0;0;No especificado;No especificado;0;0;0;0;6400000;2019;12;12
6992;6/6/2017;07:19:02;Techcore Medellín #1;Medellín;Liliana Jordá Armengol;Montserrat De Dávila;F;50;montserrat66@yahoo.com;+34 981657295;Cra 67 #59-73;Tarjeta Crédito;Hp Pavilion 15;HP;1;3500000;3500000;No especificado;No especificado;0;0;0;No especificado;No especificado;0;0;0;0;3500000;2017;6;6
7042;2/4/2020;16:50:38;Techcore Medellín #1;Medellín;Liliana Jordá Armengol;Roberto Bayona;M;25;roberto66@gmail.com;+34 946 069 258;Cll 26 #75-74;Tarjeta Crédito;Apple Macbook Air M1;Apple;2;5500000;11000000;No especificado;No especificado;0;0;0;No especificado;No especificado;0;0;0;0;11000000;2020;4;2
7228;24/10/2014;16:03:18;Techcore Medellín #1;Medellín;Liliana Jordá Armengol;Casandra Bayón-Figueras;F;39;casandra70@yahoo.com;34877812847;Cll 89 #26-34;Tarjeta Crédito;Apple Macbook Air M1;Apple;2;5500000;11000000;No especificado;No especificado;0;0;0;No especificado;No especificado;0;0;0;0;11000000;2014;10;24
7326;27/10/2023;22:49:42;Techcore Medellín #1;Medellín;Liliana Jordá Armengol;Emilio Calderón;M;26;emilio7@gmail.com;+34986 66 59 10;Cll 32 #71-86;Tarjeta Crédito;Hp Spectre X360;HP;2;5200000;10400000;No especificado;No especificado;0;0;0;No especificado;No especificado;0;0;0;0;10400000;2023;10;27
7416;21/3/2025;05:15:35;Techcore Medellín #1;Medellín;Liliana Jordá Armengol;Leandro Guillén Ramos;M;44;leandro61@yahoo.com;+34926 36 82 30;Cll 43 #41-73;Tarjeta Crédito;Dell Xps 13;Dell;1;4800000;4800000;No especificado;No especificado;0;0;0;No especificado;No especificado;0;0;0;0;4800000;2025;3;21
7422;29/7/2015;02:39:37;Techcore Medellín #1;Medellín;Liliana Jordá Armengol;Ambrosio Albero Jerez;M;49;ambrosio72@gmail.com;+34 972841514;Cra 88 #33-35;Tarjeta Crédito;Hp Pavilion 15;HP;2;3500000;7000000;No especificado;No especificado;0;0;0;No especificado;No especificado;0;0;0;0;7000000;2015;7;29
7614;29/1/2016;18:15:21;Techcore Medellín #1;Medellín;Liliana Jordá Armengol;Calisto Escamilla Niño;M;31;calisto84@hotmail.com;+34 948 438 439;Cra 10 #79-74;Tarjeta Crédito;Lenovo Yoga 7I;Lenovo;2;4400000;8800000;No especificado;No especificado;0;0;0;No especificado;No especificado;0;0;0;0;8800000;2016;1;29
7644;24/6/2019;03:48:46;Techcore Medellín #1;Medellín;Liliana Jordá Armengol;Abilio Lino Beltran Plaza;M;39;abilio93@gmail.com;+34 879 30 80 87;Cll 85 #30-54;Tarjeta Crédito;Lenovo Thinkpad X1 Carbon;Lenovo;1;6800000;6800000;No especificado;No especificado;0;0;0;No especificado;No especificado;0;0;0;0;6800000;2019;6;24
8176;6/12/2024;11:32:06;Techcore Medellín #1;Medellín;Liliana Jordá Armengol;Corona Rovira Antón;F;21;corona61@yahoo.com;+34959 91 25 70;Cra 78 #58-80;Tarjeta Crédito;Lenovo Legion 5 Pro;Lenovo;1;7200000;7200000;No especificado;No especificado;0;0;0;No especificado;No especificado;0;0;0;0;7200000;2024;12;6
8316;22/11/2022;04:31:35;Techcore Medellín #1;Medellín;Liliana Jordá Armengol;Jose Francisco Andrés Felipe Adadia Jerez;M;20;jose84@hotmail.com;+34 848430539;Cll 97 #96-75;Tarjeta Crédito;Lenovo Legion 5 Pro;Lenovo;2;7200000;14400000;No especificado;No especificado;0;0;0;No especificado;No especificado;0;0;0;0;14400000;2022;11;22
8372;6/4/2015;16:46:11;Techcore Medellín #1;Medellín;Liliana Jordá Armengol;Hilario González-Vila;M;42;hilario39@yahoo.com;+34 888650825;Cra 60 #77-39;Tarjeta Crédito;Hp Spectre X360;HP;2;5200000;10400000;No especificado;No especificado;0;0;0;No especificado;No especificado;0;0;0;0;10400000;2015;4;6
8428;5/5/2016;11:07:00;Techcore Medellín #1;Medellín;Liliana Jordá Armengol;Gabriela Luciana Dueñas Artigas;F;34;gabriela72@yahoo.com;+34843 36 07 06;Cll 21 #93-87;Tarjeta Crédito;Lenovo Yoga 7I;Lenovo;2;4400000;8800000;No especificado;No especificado;0;0;0;No especificado;No especificado;0;0;0;0;8800000;2016;5;5
8626;3/1/2022;20:53:39;Techcore Medellín #1;Medellín;Liliana Jordá Armengol;Amarilis Matas Villalba;F;28;amarilis54@hotmail.com;+34 871383228;Cll 26 #28-44;Tarjeta Crédito;Hp Spectre X360;HP;1;5200000;5200000;No especificado;No especificado;0;0;0;No especificado;No especificado;0;0;0;0;5200000;2022;1;3
8630;17/7/2019;13:59:53;Techcore Medellín #1;Medellín;Liliana Jordá Armengol;Andrés Felipe Lillo-Villanueva;M;31;andrés15@hotmail.com;+34 949028103;Cll 91 #56-22;Tarjeta Crédito;Dell Xps 13;Dell;1;4800000;4800000;No especificado;No especificado;0;0;0;No especificado;No especificado;0;0;0;0;4800000;2019;7;17
8654;10/7/2017;20:58:30;Techcore Medellín #1;Medellín;Liliana Jordá Armengol;Fabiana Nieto Barceló;F;25;fabiana39@yahoo.com;+34 871 20 81 77;Cll 96 #92-83;Tarjeta Crédito;Msi Gs66 Stealth;MSI;1;8000000;8000000;No especificado;No especificado;0;0;0;No especificado;No especificado;0;0;0;0;8000000;2017;7;10
8855;6/1/2017;11:18:02;Techcore Medellín #1;Medellín;Liliana Jordá Armengol;Ramiro Moles Cuervo;M;28;ramiro94@gmail.com;+34 660149446;Cll 15 #77-40;Tarjeta Crédito;Hp Spectre X360;HP;2;5200000;10400000;No especificado;No especificado;0;0;0;No especificado;No especificado;0;0;0;0;10400000;2017;1;6
8954;13/1/2024;14:27:56;Techcore Medellín #1;Medellín;Liliana Jordá Armengol;Evita Alberto Tomé;F;44;evita15@gmail.com;+34 672 03 40 17;Cll 13 #92-5;Tarjeta Crédito;Lenovo Thinkpad X1 Carbon;Lenovo;2;6800000;13600000;No especificado;No especificado;0;0;0;No especificado;No especificado;0;0;0;0;13600000;2024;1;13
9043;16/7/2025;13:15:17;Techcore Medellín #1;Medellín;Liliana Jordá Armengol;Ana Belén Reig Melero;F;38;ana43@hotmail.com;+34883 34 31 76;Cra 66 #12-70;Tarjeta Crédito;Dell Inspiron 15;Dell;1;3000000;3000000;No especificado;No especificado;0;0;0;No especificado;No especificado;0;0;0;0;3000000;2025;7;16
9106;10/12/2023;23:05:54;Techcore Medellín #1;Medellín;Liliana Jordá Armengol;Nando Fabián Martinez Jara;M;28;nando74@yahoo.com;+34 980 04 55 69;Cra 93 #16-21;Tarjeta Crédito;Hp Spectre X360;HP;2;5200000;10400000;No especificado;No especificado;0;0;0;No especificado;No especificado;0;0;0;0;10400000;2023;12;10
9390;24/6/2025;22:01:48;Techcore Medellín #1;Medellín;Liliana Jordá Armengol;Melchor Calvo-Cid;M;29;melchor97@yahoo.com;+34 979 891 222;Cll 51 #4-27;Tarjeta Crédito;Dell Inspiron 15;Dell;1;3000000;3000000;No especificado;No especificado;0;0;0;No especificado;No especificado;0;0;0;0;3000000;2025;6;24
10025;27/2/2016;05:34:16;Techcore Medellín #1;Medellín;Liliana Jordá Armengol;Merche Andrés Zabaleta;F;44;merche28@yahoo.com;34926708060;Cra 77 #36-70;Tarjeta Crédito;Lenovo Yoga 7I;Lenovo;2;4400000;8800000;No especificado;No especificado;0;0;0;No especificado;No especificado;0;0;0;0;8800000;2016;2;27
10440;26/9/2015;18:04:59;Techcore Medellín #1;Medellín;Liliana Jordá Armengol;Daniel Uriarte Acedo;M;36;daniel24@hotmail.com;+34 923 85 52 67;Cll 31 #42-86;Tarjeta Crédito;Hp Envy 13;HP;1;4000000;4000000;No especificado;No especificado;0;0;0;No especificado;No especificado;0;0;0;0;4000000;2015;9;26
10561;20/7/2022;19:21:55;Techcore Medellín #1;Medellín;Liliana Jordá Armengol;Ricarda Vazquez Cisneros;F;32;ricarda71@gmail.com;+34 988 36 84 15;Cra 77 #12-22;Tarjeta Crédito;Hp Omen 16;HP;1;6000000;6000000;No especificado;No especificado;0;0;0;No especificado;No especificado;0;0;0;0;6000000;2022;7;20
10821;1/12/2023;20:46:27;Techcore Medellín #1;Medellín;Liliana Jordá Armengol;Clímaco Esteban;M;45;clímaco89@hotmail.com;+34824 25 27 55;Cra 51 #21-76;Tarjeta Crédito;Apple Macbook Pro 14;Apple;2;8000000;16000000;No especificado;No especificado;0;0;0;No especificado;No especificado;0;0;0;0;16000000;2023;12;1
11039;26/9/2022;05:28:24;Techcore Medellín #1;Medellín;Liliana Jordá Armengol;Camila Melero;F;42;camila89@gmail.com;+34 948917648;Cra 40 #69-46;Tarjeta Crédito;Lenovo Ideapad 5;Lenovo;1;2800000;2800000;No especificado;No especificado;0;0;0;No especificado;No especificado;0;0;0;0;2800000;2022;9;26
11245;20/5/2021;06:28:54;Techcore Medellín #1;Medellín;Liliana Jordá Armengol;Teófilo Rosales Rovira;M;24;teófilo78@hotmail.com;+34881 35 48 70;Cra 17 #93-77;Tarjeta Crédito;Hp Spectre X360;HP;1;5200000;5200000;No especificado;No especificado;0;0;0;No especificado;No especificado;0;0;0;0;5200000;2021;5;20
11246;17/9/2023;17:36:22;Techcore Medellín #1;Medellín;Liliana Jordá Armengol;Cebrián Toledo-Fabregat;M;22;cebrián57@gmail.com;+34924 69 91 89;Cra 73 #37-7;Tarjeta Crédito;Dell Alienware M15;Dell;2;8000000;16000000;No especificado;No especificado;0;0;0;No especificado;No especificado;0;0;0;0;16000000;2023;9;17
11289;21/6/2018;20:50:19;Techcore Medellín #1;Medellín;Liliana Jordá Armengol;Teo Rubio Echeverría;M;30;teo11@gmail.com;34901870716;Cra 38 #89-4;Tarjeta Crédito;Dell Latitude 7420;Dell;2;5600000;11200000;No especificado;No especificado;0;0;0;No especificado;No especificado;0;0;0;0;11200000;2018;6;21
11558;5/3/2017;22:07:43;Techcore Medellín #1;Medellín;Liliana Jordá Armengol;Íngrid Cardona España;F;33;íngrid80@hotmail.com;+34971 542 510;Cll 35 #98-87;Tarjeta Crédito;Hp Omen 16;HP;1;6000000;6000000;No especificado;No especificado;0;0;0;No especificado;No especificado;0;0;0;0;6000000;2017;3;5
11909;10/6/2025;13:59:07;Techcore Medellín #1;Medellín;Liliana Jordá Armengol;Luisa Mamen Alcalde Cabrero;F;24;luisa64@gmail.com;34885187070;Cra 31 #3-86;Tarjeta Crédito;Acer Swift 3;Acer;1;2600000;2600000;No especificado;No especificado;0;0;0;No especificado;No especificado;0;0;0;0;2600000;2025;6;10
12049;1/4/2025;15:30:14;Techcore Medellín #1;Medellín;Liliana Jordá Armengol;Teodora Sobrino Montaña;F;25;teodora26@gmail.com;No especificado;Cra 54 #25-87;Tarjeta Crédito;Apple Macbook Air M1;Apple;2;5500000;11000000;No especificado;No especificado;0;0;0;No especificado;No especificado;0;0;0;0;11000000;2025;4;1
13153;18/9/2015;21:33:39;Techcore Medellín #1;Medellín;Liliana Jordá Armengol;Ligia Reyes Cabrera;F;35;ligia59@hotmail.com;+34922 344 712;Cra 41 #85-58;Tarjeta Crédito;Lenovo Ideapad 5;Lenovo;1;2800000;2800000;No especificado;No especificado;0;0;0;No especificado;No especificado;0;0;0;0;2800000;2015;9;18
14353;19/12/2014;02:09:34;Techcore Medellín #1;Medellín;Liliana Jordá Armengol;Ambrosio Company Castellanos;M;50;ambrosio88@hotmail.com;34807724063;Cra 28 #13-3;Tarjeta Crédito;Lenovo Thinkpad X1 Carbon;Lenovo;2;6800000;13600000;No especificado;No especificado;0;0;0;No especificado;No especificado;0;0;0;0;13600000;2014;12;19
14935;5/6/2020;07:49:35;Techcore Medellín #1;Medellín;Liliana Jordá Armengol;Ruperta Ureña Benet;F;35;ruperta95@yahoo.com;+34 826106053;Cll 31 #9-16;Tarjeta Crédito;Lenovo Ideapad 5;Lenovo;2;2800000;5600000;No especificado;No especificado;0;0;0;No especificado;No especificado;0;0;0;0;5600000;2020;6;5
15026;25/5/2020;04:27:05;Techcore Medellín #1;Medellín;Liliana Jordá Armengol;Felipa Dora Aramburu Vallejo;F;35;felipa7@gmail.com;+34984 442 292;Cll 36 #14-71;Tarjeta Crédito;Hp Omen 16;HP;2;6000000;12000000;No especificado;No especificado;0;0;0;No especificado;No especificado;0;0;0;0;12000000;2020;5;25
15216;3/8/2021;11:22:36;Techcore Medellín #1;Medellín;Liliana Jordá Armengol;Charo Bayo Buendía;F;49;No especificado;+34 971291246;Cll 99 #83-5;Tarjeta Crédito;Dell Xps 13;Dell;1;4800000;4800000;No especificado;No especificado;0;0;0;No especificado;No especificado;0;0;0;0;4800000;2021;8;3
16050;3/2/2015;14:30:33;Techcore Medellín #1;Medellín;Liliana Jordá Armengol;Fabricio Gabino Sola Estrada;M;24;fabricio90@yahoo.com;+34 740 88 36 00;Cra 70 #12-1;Tarjeta Crédito;Apple Macbook Pro 16;Apple;1;9600000;9600000;No especificado;No especificado;0;0;0;No especificado;No especificado;0;0;0;0;9600000;2015;2;3
16078;15/11/2024;11:45:43;Techcore Medellín #1;Medellín;Liliana Jordá Armengol;Norberto Echeverría;M;32;norberto69@hotmail.com;+34979 244 684;Cll 66 #93-88;Tarjeta Crédito;Lenovo Legion 5 Pro;Lenovo;2;7200000;14400000;No especificado;No especificado;0;0;0;No especificado;No especificado;0;0;0;0;14400000;2024;11;15
16241;20/7/2016;06:23:03;Techcore Medellín #1;Medellín;Liliana Jordá Armengol;Mateo Ferrer Caballero;M;42;No especificado;+34 925 84 74 61;Cra 90 #67-50;Tarjeta Crédito;Apple Macbook Air M1;Apple;2;5500000;11000000;No especificado;No especificado;0;0;0;No especificado;No especificado;0;0;0;0;11000000;2016;7;20
